cb_id	courses_desc	create_time	courses_no
36fd8f4c6a87c1a81f594b43afd27a4f94d18737	Cultural Psychology (Ed 367)	2017-02-12 22:48:37	0
36fd8f4c6a87c1a81f594b43afd27a4f94d18737	Counseling Theories and Interventions from a Multicultural Perspective (Ed 233A)	2017-02-12 22:48:37	0
36fd8f4c6a87c1a81f594b43afd27a4f94d18737	Understanding Racial and Ethnic Identity Development (Ed 256)	2017-02-12 22:48:37	0
36fd8f4c6a87c1a81f594b43afd27a4f94d18737	Psychological and Educational Resilience among Children and Youth (Ed 255X)	2017-02-12 22:48:37	0
36fd8f4c6a87c1a81f594b43afd27a4f94d18737	Adolescent Development and Learning (Ed 240)	2017-02-12 22:48:37	0
36fd8f4c6a87c1a81f594b43afd27a4f94d18737	Psychology and American Indian Mental Health (Ed 340)	2017-02-12 22:48:37	0
ac69bc4a8a0c663c0e06b6a53316e20c89a48f3f	History of School Reform (Ed 220D)	2017-02-12 22:48:37	0
ac69bc4a8a0c663c0e06b6a53316e20c89a48f3f	School -- What Is It Good For (ED 207)	2017-02-12 22:48:37	0
ac69bc4a8a0c663c0e06b6a53316e20c89a48f3f	Academic Writing with Clarity and Grace (ED 292)	2017-02-12 22:48:37	0
ac69bc4a8a0c663c0e06b6a53316e20c89a48f3f	History of Higher Education (Ed 265/165)	2017-02-12 22:48:37	0
7df1b9f957865b0014c0910d13c5698ab46a7aab	Career and Personal Counseling (Ed 134, Psych 192)	2017-02-12 22:48:37	0
7df1b9f957865b0014c0910d13c5698ab46a7aab	Introduction to Counseling (Ed 130)	2017-02-12 22:48:37	0
7df1b9f957865b0014c0910d13c5698ab46a7aab	Mediation for Dispute Resolution (Ed 131X; Psych 152)	2017-02-12 22:48:37	0
7df1b9f957865b0014c0910d13c5698ab46a7aab	Undergraduate Honors Seminar (Ed 199A, 199B, 199C)	2017-02-12 22:48:37	0
d9dd21c3613e691f1c1cfdc0888e014a40f2a65c	Reading in a Second Language (Ed 364X)	2017-02-12 22:48:38	0
d9dd21c3613e691f1c1cfdc0888e014a40f2a65c	Trends and Issues in Reading (Ed 366X)	2017-02-12 22:48:38	0
d9dd21c3613e691f1c1cfdc0888e014a40f2a65c	Reading Research Syntheses, Policy and Practice (Ed 367X)	2017-02-12 22:48:38	0
d9dd21c3613e691f1c1cfdc0888e014a40f2a65c	Trends and Issues in Reading (Ed 480)	2017-02-12 22:48:38	0
6eff33846b2c13515684a06f8fe300b7822cbe31	Tutoring: Seeing a child through literacy, (EDUC 103a/203a)	2017-02-12 22:48:38	0
6eff33846b2c13515684a06f8fe300b7822cbe31	Becoming Literate in School I, II, III (STEP 228E, 228F, 228G)	2017-02-12 22:48:38	0
6eff33846b2c13515684a06f8fe300b7822cbe31	Literacy Development and Instruction (EDUC 258)	2017-02-12 22:48:38	0
afc1062e613bdbe867001870079465c6fc97b4cc	Educational Assessment (Ed 276)	2017-02-12 22:48:38	0
afc1062e613bdbe867001870079465c6fc97b4cc	Problems in Measurement: Item Response Theory (Ed 353A)	2017-02-12 22:48:38	0
afc1062e613bdbe867001870079465c6fc97b4cc	Problems in Measurement: Generalizability Theory (Ed 353C)	2017-02-12 22:48:38	0
a2396ec737b5c867c1f452f0ec460c783f9a4227	ED 262: Curriculum & Instruction in Secondary English (STEP)	2017-02-12 22:48:38	0
